id,created_at,user_name,text,lang
1399440996648243201,2021-05-31 19:01:48+00:00,Eapen Corporation,"Develop an app in hours with @Microsoft #PowerApps. Your business is growing, so you need to be efficient. Solve pr… https://t.co/LMMfjUyVmz",en
1399440964037480448,2021-05-31 19:01:40+00:00,Dean Federico,"@chiyonosake_89 @Khajiit_san @SpawnWaveMedia Oh I get you, I'm just saying Microsoft and Sony never made it an actu… https://t.co/k5wxL8Irpy",en
1399440841853345795,2021-05-31 19:01:11+00:00,Renzo Cáceres Rossi,"Convertir archivos PDF a Microsoft Word, sin necesidad de aplicaciones externas.
#pdf #pdftoword #microsoftWord… https://t.co/KTSVPzzc8R",es
1399440739474489344,2021-05-31 19:00:47+00:00,Drogith🏳️‍⚧️... but you can call me Trish,"RT @ASexyBiscuit: I'm 80% sure that Kingdom Come Deliverance is coming to Nintendo Switch or Switch Pro, from Two ""accidental"" listings thi…",en
1399440739315064832,2021-05-31 19:00:47+00:00,ULTRA . Is This Hype ?,"RT @KudzaiMuringai: like @microsoft . or @nitendoswitch needs it . @alienware sounds dope . you could buy them .
https://t.co/G8rdCS3lm1",en
1399440703017537546,2021-05-31 19:00:38+00:00,akasatanahama.com,"RT @DoubleTapCanada: The #MicrosoftHoloLens are mixed reality #SmartGlasses developed and manufactured by @Microsoft

On the next Double Ta…",en
1399440692275941379,2021-05-31 19:00:36+00:00,TOKYO . JUNE 27TH . @MALLOFAMERICA .,"like @microsoft . or @nitendoswitch needs it . @alienware sounds dope . you could buy them .
https://t.co/G8rdCS3lm1",en
1399440468686036992,2021-05-31 18:59:42+00:00,Kim Muro,Bethesda may not be Microsoft's last big Xbox Studios purchase: #ai #ml #dl #iot copy @Mikequindazzi… https://t.co/KN2UTnDPjr,en
1399440441586630660,2021-05-31 18:59:36+00:00,Bonheur,"RT @andrewchen: what's the list of consumer technology products with more than a billion active users?
- apple devices
- google android dev…",en
1399440439330041857,2021-05-31 18:59:35+00:00,Malik,"RT @random_walker: While I'm sure this is impressive work, conflating mathematical statements with empirical claims is a category error tha…",en
1399440292693131267,2021-05-31 18:59:00+00:00,Ronaldo F. Araújo 💉💟🐊,"""If we want open and sustainable databases, it would probably be a good idea to invest more time and resources in b… https://t.co/yE3Iczx5Oo",en
1399440053366104065,2021-05-31 18:58:03+00:00,#SeaKrauts,I'm now streaming on Twitch! Playing Microsoft Flight Simulator https://t.co/CCmPZ276TG,en
